commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v4_1-0620143922,1,1,1,true,V4_1Engine,stockfish-1800,0-1,checkmate,102,0,51,51,358525,2844321,7029.901960784314,55771,101.22863333333335,101.4573274509804,10520.7158,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_1-0620143922,2,1,1,false,stockfish-1800,V4_1Engine,1-0,checkmate,17,0,9,8,458976,64739,50997.333333333336,8092.375,100.82895555555554,92.2970875,1653.8557,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_1-0620143922,3,2,1,true,V4_1Engine,stockfish-1800,1-0,checkmate,65,1,33,32,262454,2090159,7953.151515151515,65317.46875,91.9055909090909,98.26661562500001,6236.6767,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_1-0620143922,4,2,1,false,stockfish-1800,V4_1Engine,1/2-1/2,claimable_draw,133,0.5,67,66,5684067,470878,84836.82089552238,7134.515151515152,100.8197343283582,102.25161969696968,13612.2916,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_1-0620143922,5,3,1,true,V4_1Engine,stockfish-1800,0-1,checkmate,60,0,30,30,195831,1728720,6527.7,57624,94.64603666666667,100.97823666666663,5928.2836,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_1-0620143922,6,3,1,false,stockfish-1800,V4_1Engine,1-0,checkmate,109,0,55,54,4375609,393110,79556.52727272727,7279.814814814815,100.7589345454545,102.8753814814815,11190.1392,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_1-0620143922,7,4,1,true,V4_1Engine,stockfish-1800,1-0,checkmate,119,1,60,59,498533,4601455,8308.883333333333,77990.7627118644,102.12601000000001,99.2152338983051,12094.3026,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_1-0620143922,8,4,1,false,stockfish-1800,V4_1Engine,1-0,checkmate,103,0,52,51,4280920,437381,82325.38461538461,8576.098039215687,89.70816153846154,104.98070784313728,10092.0272,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_1-0620143922,9,5,1,true,V4_1Engine,stockfish-1800,0-1,checkmate,86,0,43,43,296443,3041360,6894.023255813953,70729.30232558139,99.95306279069766,97.33793023255811,8554.3943,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_1-0620143922,10,5,1,false,stockfish-1800,V4_1Engine,0-1,checkmate,66,1,33,33,2029964,192172,61514.06060606061,5823.393939393939,96.09551818181816,90.56561515151516,6237.0046,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
