commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v4_39-0621061929,1,1,1,true,V4_39Engine,stockfish-1800,1-0,checkmate,65,1,33,32,268742,2316814,8143.69696969697,72400.4375,101.40228484848483,96.22214062500002,6593.2212,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,2,1,1,false,stockfish-1800,V4_39Engine,1-0,checkmate,49,0,25,24,1127644,192520,45105.76,8021.666666666667,101.35710000000002,101.02089166666666,5018.7676,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,3,2,1,true,V4_39Engine,stockfish-1800,1/2-1/2,claimable_draw,95,0.5,48,47,326847,2250720,6809.3125,47887.65957446808,101.82752083333335,101.31869574468084,9781.6328,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,4,2,1,false,stockfish-1800,V4_39Engine,1/2-1/2,claimable_draw,88,0.5,44,44,3166609,365347,71968.38636363637,8303.34090909091,99.1829,102.8674818181818,8985.919,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,5,3,1,true,V4_39Engine,stockfish-1800,1/2-1/2,claimable_draw,182,0.5,91,91,902219,10020588,9914.494505494506,110116.35164835164,102.79308021978021,101.01964395604399,18688.7044,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,6,3,1,false,stockfish-1800,V4_39Engine,1/2-1/2,claimable_draw,69,0.5,35,34,1811570,220931,51759.142857142855,6497.970588235294,101.25597428571429,99.59902058823529,7003.7846,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,7,4,1,true,V4_39Engine,stockfish-1800,0-1,checkmate,170,0,85,85,719717,6318354,8467.258823529412,74333.57647058823,102.0362517647059,97.1724576470588,17145.0377,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,8,4,1,false,stockfish-1800,V4_39Engine,0-1,checkmate,72,1,36,36,2341897,285963,65052.694444444445,7943.416666666667,95.71530555555557,98.92835277777782,7080.5723,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,9,5,1,true,V4_39Engine,stockfish-1800,0-1,checkmate,166,0,83,83,637871,8792305,7685.192771084337,105931.38554216867,104.35853132530114,99.04794819277112,17060.2956,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,10,5,1,false,stockfish-1800,V4_39Engine,1-0,checkmate,119,0,60,59,3623682,541400,60394.7,9176.271186440677,100.9568066666667,104.35508305084748,12340.9162,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,11,6,1,true,V4_39Engine,stockfish-1800,0-1,checkmate,52,0,26,26,157273,1334823,6048.961538461538,51339.346153846156,95.8065076923077,98.28384615384616,5094.359,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,12,6,1,false,stockfish-1800,V4_39Engine,1/2-1/2,claimable_draw,98,0.5,49,49,2190718,333177,44708.5306122449,6799.530612244898,101.54832857142853,103.64368775510205,10157.0278,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,13,7,1,true,V4_39Engine,stockfish-1800,1-0,checkmate,51,1,26,25,194874,1139580,7495.153846153846,45583.2,95.40457692307692,97.08691199999998,4948.2687,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,14,7,1,false,stockfish-1800,V4_39Engine,1-0,checkmate,155,0,78,77,3806527,505927,48801.6282051282,6570.480519480519,101.85558717948723,106.35691038961039,16361.6893,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,15,8,1,true,V4_39Engine,stockfish-1800,0-1,checkmate,192,0,96,96,959164,9769092,9991.291666666666,101761.375,104.07094687499998,99.19281249999996,19733.3987,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,16,8,1,false,stockfish-1800,V4_39Engine,1-0,checkmate,71,0,36,35,2362777,272236,65632.69444444444,7778.171428571429,97.69841666666666,104.66530857142857,7245.0003,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,17,9,1,true,V4_39Engine,stockfish-1800,0-1,checkmate,104,0,52,52,473540,3871384,9106.538461538461,74449.69230769231,102.0745903846154,99.3819076923077,10602.2823,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,18,9,1,false,stockfish-1800,V4_39Engine,1-0,checkmate,157,0,79,78,6493474,645651,82195.87341772152,8277.576923076924,99.68947594936708,104.65287435897434,16228.6358,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,19,10,1,true,V4_39Engine,stockfish-1800,1-0,checkmate,63,1,32,31,249635,1928815,7801.09375,62219.83870967742,101.104190625,95.54069999999997,6272.7084,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,20,10,1,false,stockfish-1800,V4_39Engine,0-1,checkmate,18,1,9,9,378116,67711,42012.88888888889,7523.444444444444,101.3962,92.68837777777777,1760.9173,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,21,11,1,true,V4_39Engine,stockfish-1800,0-1,checkmate,64,0,32,32,204651,1283277,6395.34375,40102.40625,99.73022812500001,101.77633749999997,6535.0324,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_39-0621061929,22,11,1,false,stockfish-1800,V4_39Engine,0-1,checkmate,74,1,37,37,2168131,246567,58598.13513513513,6663.972972972973,101.1465027027027,103.75815405405406,7687.4873,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
