commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v4_41-0621070144,1,1,1,true,V4_41Engine,stockfish-1800,1-0,checkmate,67,1,34,33,310923,2795957,9144.79411764706,84725.9696969697,100.89058823529412,95.82529090909094,6743.1774,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_41-0621070144,2,1,1,false,stockfish-1800,V4_41Engine,0-1,checkmate,94,1,47,47,3729344,431281,79347.74468085106,9176.191489361701,97.0474404255319,102.78680425531914,9487.5778,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_41-0621070144,3,2,1,true,V4_41Engine,stockfish-1800,0-1,checkmate,60,0,30,30,210334,1637559,7011.133333333333,54585.3,98.07971666666667,101.38225,6065.6975,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_41-0621070144,4,2,1,false,stockfish-1800,V4_41Engine,0-1,checkmate,72,1,36,36,2341108,303424,65030.77777777778,8428.444444444445,96.48113333333335,101.06834722222224,7210.0136,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_41-0621070144,5,3,1,true,V4_41Engine,stockfish-1800,1/2-1/2,claimable_draw,198,0.5,99,99,1028987,12773049,10393.808080808081,129020.69696969698,103.60862121212121,98.84106969696974,20229.0668,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_41-0621070144,6,3,1,false,stockfish-1800,V4_41Engine,0-1,checkmate,70,1,35,35,2520137,285852,72003.91428571429,8167.2,98.43154285714286,98.41956285714286,6966.0535,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_41-0621070144,7,4,1,true,V4_41Engine,stockfish-1800,1-0,checkmate,63,1,32,31,255569,1893020,7986.53125,61065.16129032258,99.27255937499997,98.423435483871,6297.1757,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_41-0621070144,8,4,1,false,stockfish-1800,V4_41Engine,0-1,checkmate,40,1,20,20,1070318,154625,53515.9,7731.25,100.93354500000002,99.928605,4052.5748,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_41-0621070144,9,5,1,true,V4_41Engine,stockfish-1800,1/2-1/2,claimable_draw,115,0.5,58,57,440783,3860223,7599.706896551724,67723.21052631579,98.14557413793106,101.16541929824558,11587.291,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_41-0621070144,10,5,1,false,stockfish-1800,V4_41Engine,0-1,checkmate,82,1,41,41,2361399,334925,57595.09756097561,8168.90243902439,98.70084390243903,105.21377560975608,8434.2727,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
