commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v4_43-0621075537,1,1,1,true,V4_43Engine,stockfish-1800,1-0,checkmate,59,1,30,29,254710,1805882,8490.333333333334,62271.793103448275,98.86197666666669,95.92191034482757,5888.2069,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_43-0621075537,2,1,1,false,stockfish-1800,V4_43Engine,0-1,checkmate,54,1,27,27,1204992,248213,44629.333333333336,9193.074074074075,97.6731962962963,101.14275555555558,5427.1043,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_43-0621075537,3,2,1,true,V4_43Engine,stockfish-1800,1/2-1/2,claimable_draw,59,0.5,30,29,240795,1628376,8026.5,56150.89655172414,103.01149666666667,101.1631517241379,6092.601,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_43-0621075537,4,2,1,false,stockfish-1800,V4_43Engine,0-1,checkmate,136,1,68,68,5114171,689560,75208.39705882352,10140.588235294117,98.44158235294117,104.92461911764708,13973.0892,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_43-0621075537,5,3,1,true,V4_43Engine,stockfish-1800,1-0,checkmate,59,1,30,29,226999,1845266,7566.633333333333,63629.862068965514,96.30024666666667,95.57769655172417,5719.0345,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_43-0621075537,6,3,1,false,stockfish-1800,V4_43Engine,1/2-1/2,claimable_draw,120,0.5,60,60,3263714,513553,54395.23333333333,8559.216666666667,101.24842333333335,99.20580166666664,12160.7704,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_43-0621075537,7,4,1,true,V4_43Engine,stockfish-1800,1-0,checkmate,57,1,29,28,251873,1906264,8685.275862068966,68080.85714285714,98.53000689655174,97.8780214285714,5673.156,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_43-0621075537,8,4,1,false,stockfish-1800,V4_43Engine,0-1,checkmate,64,1,32,32,2162366,309485,67573.9375,9671.40625,95.51146875,98.61039062500001,6271.3294,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_43-0621075537,9,5,1,true,V4_43Engine,stockfish-1800,0-1,checkmate,162,0,81,81,717208,7950728,8854.41975308642,98157.13580246913,101.13655802469134,99.16572962962965,16406.8544,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_43-0621075537,10,5,1,false,stockfish-1800,V4_43Engine,0-1,checkmate,74,1,37,37,1941524,284925,52473.62162162162,7700.675675675676,96.69389189189188,104.36763243243246,7523.5205,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
