commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v4_50-0621102640,1,1,1,true,V4_50Engine,stockfish-1800,1-0,checkmate,173,1,87,86,1056499,6788719,12143.666666666666,78938.59302325582,99.54663563218386,99.4444988372093,17535.4546,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_50-0621102640,2,1,1,false,stockfish-1800,V4_50Engine,0-1,checkmate,84,1,42,42,2639197,408681,62838.02380952381,9730.5,98.66628333333331,104.95882142857143,8636.5009,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_50-0621102640,3,2,1,true,V4_50Engine,stockfish-1800,1-0,checkmate,63,1,32,31,289705,1817596,9053.28125,58632.12903225807,98.11329062499999,95.10452903225806,6157.2322,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_50-0621102640,4,2,1,false,stockfish-1800,V4_50Engine,0-1,checkmate,86,1,43,43,2880947,377714,66998.76744186046,8784.046511627907,97.18136744186047,105.3684930232558,8790.5111,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_50-0621102640,5,3,1,true,V4_50Engine,stockfish-1800,0-1,checkmate,94,0,47,47,435185,3015837,9259.255319148937,64166.744680851065,99.54712340425534,96.05346382978722,9314.0232,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_50-0621102640,6,3,1,false,stockfish-1800,V4_50Engine,1/2-1/2,claimable_draw,85,0.5,43,42,2623606,389806,61014.09302325582,9281.095238095239,101.04818372093028,101.89924047619044,8709.1734,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_50-0621102640,7,4,1,true,V4_50Engine,stockfish-1800,0-1,checkmate,90,0,45,45,393722,3479967,8749.377777777778,77332.6,102.59012444444444,99.40957333333334,9178.6046,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_50-0621102640,8,4,1,false,stockfish-1800,V4_50Engine,1/2-1/2,claimable_draw,105,0.5,53,52,3966104,453322,74832.15094339622,8717.73076923077,101.02357358490568,102.86157500000002,10770.6998,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_50-0621102640,9,5,1,true,V4_50Engine,stockfish-1800,1-0,checkmate,39,1,20,19,117761,958315,5888.05,50437.63157894737,79.468625,91.57786842105263,3382.1613,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_50-0621102640,10,5,1,false,stockfish-1800,V4_50Engine,0-1,checkmate,92,1,46,46,2958172,294508,64308.086956521736,6402.347826086957,101.13328260869565,104.49488478260872,9578.872,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
