commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v4_5-0620160421,1,1,1,true,V4_5Engine,stockfish-1800,1-0,checkmate,65,1,33,32,358586,1978891,10866.242424242424,61840.34375,98.56394848484848,95.40547187499999,6462.8998,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,2,1,1,false,stockfish-1800,V4_5Engine,1/2-1/2,claimable_draw,169,0.5,85,84,9489458,1011071,111640.68235294118,12036.559523809523,99.13648823529412,105.75915833333335,17460.2004,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,3,2,1,true,V4_5Engine,stockfish-1800,0-1,checkmate,96,0,48,48,368332,2365396,7673.583333333333,49279.083333333336,95.98760416666669,99.72051041666664,9502.4347,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,4,2,1,false,stockfish-1800,V4_5Engine,1-0,checkmate,77,0,39,38,2524714,261069,64736.256410256414,6870.236842105263,98.51255897435895,101.78012894736842,7801.2381,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,5,3,1,true,V4_5Engine,stockfish-1800,0-1,checkmate,162,0,81,81,830516,8720311,10253.283950617284,107658.16049382716,103.39919876543206,98.56509629629629,16536.089,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,6,3,1,false,stockfish-1800,V4_5Engine,1-0,checkmate,55,0,28,27,1584435,202565,56586.96428571428,7502.407407407408,101.10763928571431,99.89331481481484,5562.8386,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,7,4,1,true,V4_5Engine,stockfish-1800,0-1,checkmate,58,0,29,29,186110,1396261,6417.586206896552,48146.93103448276,98.33613103448278,98.67226896551725,5764.2023,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,8,4,1,false,stockfish-1800,V4_5Engine,1/2-1/2,max_plies,200,0.5,100,100,11679407,1004299,116794.07,10042.99,101.01092900000005,105.71769399999998,20851.0426,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,9,5,1,true,V4_5Engine,stockfish-1800,1/2-1/2,claimable_draw,75,0.5,38,37,245494,1738422,6460.368421052632,46984.37837837838,99.29960789473684,101.2624324324324,7598.4254,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,10,5,1,false,stockfish-1800,V4_5Engine,1-0,checkmate,119,0,60,59,3974463,398632,66241.05,6756.474576271186,99.88102333333336,103.30442542372877,12234.9922,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,11,6,1,true,V4_5Engine,stockfish-1800,1/2-1/2,claimable_draw,73,0.5,37,36,215131,1555359,5814.351351351352,43204.416666666664,102.87963783783782,101.34400000000002,7550.42,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,12,6,1,false,stockfish-1800,V4_5Engine,0-1,checkmate,80,1,40,40,2791259,277230,69781.475,6930.75,100.68570750000002,105.02525249999998,8312.2621,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_5-0620160421,13,7,1,true,V4_5Engine,stockfish-1800,1-0,checkmate,51,1,26,25,183528,1332333,7058.7692307692305,53293.32,98.90208461538461,97.610724,5077.4132,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
