commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
v4_6-0620162528,1,1,1,true,V4_6Engine,stockfish-1800,0-1,checkmate,168,0,84,84,781799,9106439,9307.130952380952,108409.98809523809,103.18811547619048,99.0708988095238,17258.4015,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,2,1,1,false,stockfish-1800,V4_6Engine,1-0,checkmate,67,0,34,33,2076309,225273,61067.91176470588,6826.454545454545,100.0810647058824,102.43643030303029,6862.0861,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,3,2,1,true,V4_6Engine,stockfish-1800,0-1,checkmate,106,0,53,53,387155,4000705,7304.811320754717,75485,100.51157735849054,97.04584150943394,10608.7959,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,4,2,1,false,stockfish-1800,V4_6Engine,1-0,checkmate,129,0,65,64,3962957,489150,60968.56923076923,7642.96875,98.09656307692309,101.87840156250002,13133.6959,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,5,3,1,true,V4_6Engine,stockfish-1800,1-0,checkmate,127,1,64,63,562739,3835340,8792.796875,60878.4126984127,97.05731718749998,97.03497777777775,12448.0365,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,6,3,1,false,stockfish-1800,V4_6Engine,0-1,checkmate,84,1,42,42,2021469,290241,48130.21428571428,6910.5,97.78397142857145,103.74450238095235,8599.6038,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,7,4,1,true,V4_6Engine,stockfish-1800,0-1,checkmate,70,0,35,35,216342,1956264,6181.2,55893.25714285715,101.47861428571429,101.71302571428575,7217.3496,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,8,4,1,false,stockfish-1800,V4_6Engine,0-1,checkmate,168,1,84,84,3962948,576265,47177.95238095238,6860.297619047619,99.58891785714285,104.80876428571428,17450.6625,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,9,5,1,true,V4_6Engine,stockfish-1800,1-0,checkmate,25,1,13,12,61719,525604,4747.615384615385,43800.333333333336,81.6840076923077,93.5670583333333,2229.5185,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,10,5,1,false,stockfish-1800,V4_6Engine,1-0,checkmate,67,0,34,33,1710214,188252,50300.41176470588,5704.606060606061,101.6409882352941,107.48420909090909,7097.12,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,11,6,1,true,V4_6Engine,stockfish-1800,0-1,checkmate,84,0,42,42,266001,2901837,6333.357142857143,69091.35714285714,101.90368095238094,101.29372142857143,8631.488,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,12,6,1,false,stockfish-1800,V4_6Engine,0-1,checkmate,126,1,63,63,3269444,415594,51895.93650793651,6596.730158730159,98.30457936507939,103.67973968253972,12904.881,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,13,7,1,true,V4_6Engine,stockfish-1800,1-0,checkmate,63,1,32,31,178839,1687797,5588.71875,54445.06451612903,101.54180000000002,98.35149354838708,6385.4679,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,14,7,1,false,stockfish-1800,V4_6Engine,1-0,checkmate,137,0,69,68,5343108,450879,77436.34782608696,6630.573529411765,101.22445942028983,103.67381029411769,14182.0147,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,15,8,1,true,V4_6Engine,stockfish-1800,0-1,checkmate,94,0,47,47,285272,2778937,6069.617021276596,59126.31914893617,101.5647063829787,101.21963404255321,9623.5446,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,16,8,1,false,stockfish-1800,V4_6Engine,0-1,checkmate,56,1,28,28,1716745,185792,61312.32142857143,6635.428571428572,97.73779285714284,102.49510714285714,5663.894,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,17,9,1,true,V4_6Engine,stockfish-1800,1-0,checkmate,61,1,31,30,194874,1618750,6286.258064516129,53958.333333333336,101.3181548387097,94.84394666666668,6075.4945,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,18,9,1,false,stockfish-1800,V4_6Engine,1-0,checkmate,127,0,64,63,4415577,542891,68993.390625,8617.317460317461,95.05211093750002,101.7710492063492,12657.0539,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,19,10,1,true,V4_6Engine,stockfish-1800,0-1,checkmate,154,0,77,77,565793,5982484,7347.961038961039,77694.5974025974,103.32314545454548,98.10614415584416,15711.7035,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,20,10,1,false,stockfish-1800,V4_6Engine,1-0,checkmate,47,0,24,23,1141124,131581,47546.833333333336,5720.913043478261,101.6676875,100.61966956521735,4840.4086,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,21,11,1,true,V4_6Engine,stockfish-1800,1-0,checkmate,73,1,37,36,218459,1966318,5904.2972972972975,54619.944444444445,100.57345135135135,96.2007222222222,7302.6909,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,22,11,1,false,stockfish-1800,V4_6Engine,0-1,checkmate,114,1,57,57,4145950,390264,72735.9649122807,6846.736842105263,97.81378070175438,101.57278421052631,11494.4706,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,23,12,1,true,V4_6Engine,stockfish-1800,0-1,checkmate,36,0,18,18,80803,774050,4489.055555555556,43002.77777777778,85.89408333333331,97.1913277777778,3327.2959,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,24,12,1,false,stockfish-1800,V4_6Engine,1-0,checkmate,159,0,80,79,4376103,580535,54701.2875,7348.544303797468,97.27757625000001,103.34102151898739,16100.7447,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,25,13,1,true,V4_6Engine,stockfish-1800,0-1,checkmate,150,0,75,75,638946,5150959,8519.28,68679.45333333334,101.492196,93.51906133333331,14797.2109,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
v4_6-0620162528,26,13,1,false,stockfish-1800,V4_6Engine,1/2-1/2,draw,70,0.5,35,35,2169191,214010,61976.885714285716,6114.571428571428,101.38297714285714,106.32440285714289,7340.824,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
