commit_short_sha,game_number,pair_number,opening_index,engine_a_was_white,white_engine,black_engine,result,termination_reason,plies,engine_a_score,white_moves,black_moves,white_total_positions,black_total_positions,white_average_positions,black_average_positions,white_average_move_ms,black_average_move_ms,game_elapsed_ms,failure_engine,failure_message,opening_fen
385a585,1,1,1,true,V4_8Engine,stockfish-1800,1-0,checkmate,77,1,39,38,363794,2616238,9328.051282051281,68848.36842105263,99.52933589743591,96.63448947368418,7714.983,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,2,1,1,false,stockfish-1800,V4_8Engine,1-0,checkmate,79,0,40,39,2320251,289861,58006.275,7432.333333333333,99.56281749999998,102.24111794871796,8057.7051,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,3,2,1,true,V4_8Engine,stockfish-1800,0-1,checkmate,100,0,50,50,467292,3248643,9345.84,64972.86,96.96616399999998,95.72297200000003,9715.42,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,4,2,1,false,stockfish-1800,V4_8Engine,1/2-1/2,max_plies,200,0.5,100,100,6996560,1058754,69965.6,10587.54,101.28893599999999,104.35378600000001,20764.211,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,5,3,1,true,V4_8Engine,stockfish-1800,1-0,checkmate,61,1,31,30,238787,1884899,7702.806451612903,62829.96666666667,91.18439677419354,98.18718333333334,5846.9872,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,6,3,1,false,stockfish-1800,V4_8Engine,0-1,checkmate,98,1,49,49,3934926,431752,80304.61224489796,8811.265306122448,99.12960612244899,104.7276346938775,10093.2575,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,7,4,1,true,V4_8Engine,stockfish-1800,1-0,checkmate,49,1,25,24,171528,1736442,6861.12,72351.75,91.895212,100.80032916666664,4763.419,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,8,4,1,false,stockfish-1800,V4_8Engine,1/2-1/2,draw,92,0.5,46,46,3217020,316110,69935.21739130435,6871.95652173913,101.22220217391305,102.57450434782606,9494.1749,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,9,5,1,true,V4_8Engine,stockfish-1800,1-0,checkmate,93,1,47,46,307829,2675671,6549.553191489362,58166.760869565216,95.77599787234044,97.38355434782612,9085.0371,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,10,5,1,false,stockfish-1800,V4_8Engine,1-0,checkmate,145,0,73,72,7565605,616989,103638.42465753424,8569.291666666666,97.60347945205478,103.74414861111113,14734.3769,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,11,6,1,true,V4_8Engine,stockfish-1800,1/2-1/2,claimable_draw,146,0.5,73,73,588183,4261039,8057.301369863014,58370.397260273974,104.05605616438356,101.08676986301369,15129.9926,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,12,6,1,false,stockfish-1800,V4_8Engine,0-1,checkmate,70,1,35,35,2479176,258093,70833.6,7374.085714285714,98.0801657142857,99.69306571428575,6997.75,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
385a585,13,7,1,true,V4_8Engine,stockfish-1800,0-1,checkmate,102,0,51,51,405479,3702239,7950.568627450981,72592.92156862745,101.91534313725492,100.6054392156863,10435.8954,,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
